Symbol	201414878-01	201414879-01	201414880-01	201414881-01	201414882-01	201414883-01
ENSG00000015592.12	0	0	0	4	0	0
ENSG00000015676.13	1506	1006	335	1772	2028	2016
ENSG00000016082.10	112	72	43	134	119	168
ENSG00000016391.6	179	97	49	466	452	464
ENSG00000016402.8	0	0	0	3	1	1
ENSG00000016490.11	1	0	0	0	0	2
ENSG00000016602.8	0	0	0	1	0	0
ENSG00000016864.12	2372	1875	737	2646	2842	2822
ENSG00000017260.15	3984	3321	1636	4276	4777	4771
ENSG00000017373.11	3	1	0	5	0	2
ENSG00000017427.11	17	16	13	292	181	275
ENSG00000017483.10	141	82	27	251	332	324
ENSG00000017621.11	15	14	5	15	18	31
ENSG00000017797.7	4781	3850	1844	5425	5672	5552
ENSG00000018189.8	4360	3585	1502	4719	5169	4797
ENSG00000018236.10	6091	6149	2538	3574	4664	3186
ENSG00000018280.12	1	1	0	2	1	5
ENSG00000018408.10	3751	3447	1641	3944	4319	4767
ENSG00000018510.8	4929	4395	1914	6741	7189	6824
ENSG00000018607.5	14	10	2	11	8	9
ENSG00000018610.9	562	558	202	732	973	735
ENSG00000018625.10	0	0	0	9	7	9
ENSG00000018699.7	646	491	253	937	937	968
ENSG00000018869.12	99	83	41	132	135	138
ENSG00000019102.7	0	0	0	1	1	0
ENSG00000019144.12	8041	4078	1788	16668	11999	19064
ENSG00000019169.9	0	0	0	0	0	0
ENSG00000019186.5	6425	5188	1873	4472	4406	5118
ENSG00000019485.8	35	20	8	82	96	91
ENSG00000019505.3	0	0	0	1	0	0
ENSG00000019549.4	0	1	0	0	1	1
ENSG00000019582.10	3	0	2	117	94	154
ENSG00000019991.11	0	0	0	0	0	3
ENSG00000019995.6	3468	2673	1311	3867	4320	3846
ENSG00000020129.11	198	95	25	429	431	469
ENSG00000020181.13	137	96	24	286	310	272
ENSG00000020219.8	1	1	0	0	0	0
ENSG00000020256.15	183	105	42	322	258	390
ENSG00000020426.6	836	863	445	1011	1266	1092
ENSG00000020577.9	2508	1830	899	2993	2860	3039
ENSG00000020633.14	0	0	0	2	0	0
ENSG00000020922.8	1190	1000	463	1655	1887	1803
ENSG00000021300.9	581	384	221	847	575	763
ENSG00000021355.8	396	373	174	1216	1233	1275
ENSG00000021461.12	0	0	0	2	0	0
ENSG00000021488.8	2	0	0	2	2	4
ENSG00000021574.7	1993	1768	852	2663	2983	2746
ENSG00000021645.13	1337	766	496	2512	2638	2775
ENSG00000021762.15	122	52	18	285	257	296
ENSG00000021776.6	3191	2457	1426	4337	4526	4394
ENSG00000021826.10	1505	1210	564	1772	2239	2002
ENSG00000021852.8	0	0	0	0	0	0
ENSG00000022267.12	713	452	208	720	1050	714
ENSG00000022277.8	2315	1564	516	2240	2454	2327
ENSG00000022355.10	1	1	1	2	2	0
ENSG00000022556.11	0	0	0	1	0	0
ENSG00000022567.5	47	37	20	120	96	154
ENSG00000022840.11	2008	1368	487	2389	2116	2654
ENSG00000022976.11	347	266	112	420	405	460
